ts_utc,item_id,upgrade_type,upgrade_subtype,from_star,to_star,close_price,lowest_price,highest_price,enhancement_count,timeframe,url
2025-10-24T10:42:49.659069+00:00,1032136,0,,13,14,,0.0,0.0,379219.277771,20m,https://msu.io/navigator/item/1032136?itemUpgrade=13&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:43:05.693637+00:00,1032136,0,,14,15,,0.0,0.0,379403.230853,20m,https://msu.io/navigator/item/1032136?itemUpgrade=14&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:43:21.860630+00:00,1032136,0,,15,16,,0.0,0.0,713781.982662,20m,https://msu.io/navigator/item/1032136?itemUpgrade=15&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:43:38.588599+00:00,1032136,0,,16,17,,0.0,0.0,699997.304781,20m,https://msu.io/navigator/item/1032136?itemUpgrade=16&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:43:52.680016+00:00,1032136,0,,17,18,,0.0,0.0,674964.288583,20m,https://msu.io/navigator/item/1032136?itemUpgrade=17&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:43:54.962444+00:00,1032136,0,,18,19,674964.288583,0.0,0.0,674964.288583,20m,https://msu.io/navigator/item/1032136?itemUpgrade=18&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:43:57.596820+00:00,1032136,0,,19,20,674964.288583,0.0,0.0,674964.288583,20m,https://msu.io/navigator/item/1032136?itemUpgrade=19&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:41.530771+00:00,1032136,0,,0,1,14850.232097,14805.80454,14805.80454,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=0&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:44.625081+00:00,1032136,0,,1,2,19603.37422,19536.839589,19536.839589,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=1&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:48.074047+00:00,1032136,0,,2,3,23457.846558,23377.705741,23377.705741,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=2&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:50.925389+00:00,1032136,0,,3,4,32622.556841,32488.773484,32488.773484,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=3&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:53.823227+00:00,1032136,0,,4,5,36167.810459,36013.990048,36013.990048,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=4&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:56.607711+00:00,1032136,0,,5,6,38502.097243,38312.065432,38312.065432,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=5&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:00:59.507507+00:00,1032136,0,,6,7,47224.097021,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=6&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:02.939151+00:00,1032136,0,,7,8,53193.992005,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=7&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:05.747020+00:00,1032136,0,,8,9,52213.781768,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=8&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:08.973045+00:00,1032136,0,,9,10,65245.830854,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=9&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:11.802266+00:00,1032136,0,,10,11,70839.842096,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=10&itemUpgradeSubType=&itemUpgradeType=0
